title,position_group,company,salary_line_extracted,salary_min_rub,salary_max_rub
Ветеринарный врач,Ветеринарный врач,Smart move,"до 170 000 ₽ за месяц, на руки",,170000.0
Ассистент ветеринарного врача,Ассистент ветеринарного врача,ООО Зооцентр Марфино,"от 3 000 ₽ за смену, на руки",3000.0,
Ветеринарный врач,Ветеринарный врач,Фауна,"70 000 – 250 000 ₽ за месяц, на руки",70000.0,250000.0
Ветеринарный врач УЗИ,Ветеринарный врач,ООО Гуд Вет,"от 100 000 ₽ за месяц, на руки",100000.0,
Главный ветеринарный врач,Ветеринарный врач,Smart move,"от 200 000 ₽ за месяц, на руки",200000.0,
Ассистент ветеринарного врача,Ассистент ветеринарного врача,ООО Биоконтроль,"50 000 – 70 000 ₽ за месяц, на руки",50000.0,70000.0
Ассистент ветеринарного врача,Ассистент ветеринарного врача,Клинико-диагностический ветеринарный центр POLIVET,"45 000 – 70 000 ₽ за месяц, на руки",45000.0,70000.0
Ветеринарный врач общей практики,Ветеринарный врач,Ниаландо,"100 000 – 160 000 ₽ за месяц, на руки",100000.0,160000.0
Ветеринарный врач-лаборант,Ветеринарный врач,ООО Вет Сити Центр,"85 000 ₽ за месяц, на руки",85000.0,85000.0
Администратор (Ветеринарная клиника Синица),Администратор pet-сервиса,ИП Шакин Анатолий Викторович,"90 000 – 110 000 ₽ за месяц, на руки",90000.0,110000.0
Ассистент ветеринарного врача (Москва),Ассистент ветеринарного врача,ООО Сеть ветеринарных клиник ЛЕБЕДИ,"80 000 – 110 000 ₽ за месяц, на руки",80000.0,110000.0
Ветеринарный врач-терапевт,Ветеринарный врач,Кузница Кадров,"120 000 – 150 000 ₽ за месяц, на руки",120000.0,150000.0
Ветеринарный врач / Интерн,Ветеринарный врач,ООО Любимый носик,"70 000 – 100 000 ₽ за месяц, на руки",70000.0,100000.0
Ветеринарный врач анестезиолог,Ветеринарный врач,Кузница Кадров,"120 000 – 150 000 ₽ за месяц, до вычета налогов",120000.0,150000.0
Ассистент ветеринарного врача,Ассистент ветеринарного врача,ИП Бредис Елена Николаевна,"80 000 – 105 000 ₽ за месяц, на руки",80000.0,105000.0
Ассистент ветеринарного врача анестезиолога,Ассистент ветеринарного врача,Ветеринарный Госпиталь Skolkovo Vet,"3 200 – 4 100 ₽ за смену, на руки",3200.0,4100.0
Ветеринарный врач ОРИТ,Ветеринарный врач,ООО Ветлайн,"135 000 – 180 000 ₽ за месяц, на руки",135000.0,180000.0
Ветеринарный врач/специалист/лаборант в отдел ПЦР,Ветеринарный врач,ООО Экспертная Лаборатория,"85 000 – 95 000 ₽ за месяц, на руки",85000.0,95000.0
